YEAR,JOURNAL,TITLE,DOI
1999,Global Change Biology,Biomass production and species composition change in a tallgrass prairie ecosystem after long-term exposure to elevated atmospheric CO2,10.1046/j.1365-2486.1999.00245.x
1999,American Midland Naturalist,"Effects of fire, browsers, and gallers on New Jersey Tea (Ceanothus herbaceous) growth and reproduction",10.1674/0003-0031(1999)141[0051:EOFBAG]2.0.CO;2
1999,Southwestern Naturalist,Bison performance and productivity on tallgrass prairie,
2000,American Naturalist,Disturbance frequency and community stability in native tallgrass prairie,10.1086/303326
2000,Ecosystems,Quantification of the nitrogen cycle in a prairie stream,10.1007/s100210000050
2000,Ecosystems,Altering rainfall timing and quantity in a mesic grassland ecosystem: Design and performance of rainfall manipulation shelters,10.1007/s100210000028
2000,American Midland Naturalist,Wallowing behavior of American bison (Bos bison) in tallgrass prairie: an examination of alternate explanations,10.1674/0003-0031(2000)144[0159:WBOABB]2.0.CO;2
2001,Ecology Letters,Habitat patchiness and plant species richness,10.1046/j.1461-0248.2001.00242.x
2001,Plant Ecology,Determinants of C3 forb growth and production in a C4 dominated grassland,10.1023/A:1011400101014
2001,Journal of Vegetation Science,Carbon and water relations of juvenile Quercus species in tallgrass prairie,10.2307/3236868
2001,Ecology,Fire and grazing regulate belowground processes in tallgrass prairie,10.1890/0012-9658(2001)082[3377:FAGRBP]2.0.CO;2
2001,Ecosystems,Frequency and extent of water limitation to primary production in a mesic temperate grassland,10.1007/s100210000057
2001,American Midland Naturalist,Influence of grazing by bison and cattle on deer mice in burned tallgrass prairie,10.1674/0003-0031(2001)146[0361:IOGBBA]2.0.CO;2
2001,American Midland Naturalist,Responses of the co-dominant grassland species Andropogon gerardii and Sorghastrum nutans to long-term manipulations of nitrogen and water,10.1674/0003-0031(2001)145[0159:ROTCGS]2.0.CO;2
2001,Ecology,Feedback loops in ecological hierarchies following urine deposition in tallgrass prairie,10.1890/0012-9658(2001)082[1319:FLIEHF]2.0.CO;2
2002,Ecological Applications,Changes in ecosystem structure and function along a chronosequence of restored grasslands,10.1890/1051-0761(2002)012[1688:CIESAF]2.0.CO;2
2002,Journal of Vegetation Science,Influence of climate variability on plant production and N-mineralization in Central US grasslands,10.1111/j.1654-1103.2002.tb02062.x
2002,Oikos,Effect of local and regional processes on plant species richness in tallgrass prairie,10.1034/j.1600-0706.2002.12112.x
2002,Microbial Ecology,A cross-system comparison of bacterial and fungal biomass in detritus pools of headwater streams,10.1007/s00248-001-1020-x
2002,American Midland Naturalist,"Clone size of Andropogon gerardii Vitman (Big Bluestem) at Konza Prairie, Kansas",10.1674/0003-0031(2002)147[0295:CSOAGV]2.0.CO;2
2002,Ecological Applications,Comparisons of nitrification and denitrification in prairie and agriculturally influenced streams,10.1890/1051-0761(2002)012[0998:CONADI]2.0.CO;2
2002,Diversity and Distributions,Biogeographic variation in nest placement: a case study with conservation implications,10.1046/j.1366-9516.2001.00126.x
2002,Plant Ecology,Long-term responses of the grassland co-dominants Andropogon gerardii and Sorghastrum nutans to changes in climate and management,10.1023/A:1020320214750
2003,Plant Ecology,Spatial heterogeneity in the herbaceous layer of a semi-arid savanna ecosystem,10.1023/A:1023927512590
2003,Ecology,Soil resources regulate productivity and diversity in newly established tallgrass prairie,10.1890/0012-9658(2003)084[0724:SRRPAD]2.0.CO;2
2003,Conservation Biology,Invasion of exotic plant species in tallgrass prairie fragments,10.1046/j.1523-1739.2003.02107.x
2003,American Midland Naturalist,Use of bison wallows by anurans on Konza Prairie,10.1674/0003-0031(2003)150[0158:UOBWBA]2.0.CO;2
2003,Journal of Vegetation Science,Consequences of shrub expansion in mesic grassland: resource alterations and graminoid responses,10.1111/j.1654-1103.2003.tb02175.x
2003,Ecological Monographs,"Relationships at the aboveground-belowground interface: Plants, soil biota, and soil processes",10.1890/0012-9615(2003)073[0377:RATAIP]2.0.CO;2
2003,Natural Areas Journal,"Effects of burning on snakes in Kansas, USA, tallgrass prairie",
2003,Ecology Letters,Dominant species maintain ecosystem function with non-random species loss,10.1046/j.1461-0248.2003.00454.x
2003,Global Change Biology,A cross-biome comparison of daily light use efficiency for gross primary production,10.1046/j.1365-2486.2003.00573.x
2004,Oecologia,Plant community responses to resource availability and heterogeneity during restoration,10.1007/s00442-004-1541-3
2004,Functional Ecology,Competitive relationships of Andropogon gerardii (big bluestem) from remnant and restored native populations and select cultivated varieties,10.1111/j.0269-8463.2004.00850.x
2004,African Journal of Ecology,Fire effects on mycorrhizal symbiosis and root system architecture in southern African savanna grasses,10.1111/j.1365-2028.2004.00533.x
2004,Ecology,Direct and indirect effects of fire on shrub density and aboveground productivity in a mesic grassland,10.1890/03-0574
2004,Ecological Applications,Needed: A unified infrastructure to support long-term scientific research on public lands,10.1890/03-5106
2004,Southwestern Naturalist,Predation by gray catbird on brown thrasher eggs,10.1894/0038-4909(2004)049<0101:PBGCOB>2.0.CO;2
2004,Ecology,Vegetation-mediated changes in microclimate reduce soil respiration as woodlands expand into grasslands,10.1890/03-0576
2005,Ecology,Evidence for a general species-time-area relationship,10.1890/05-0067
2005,Oecologia,"Competition, facilitation, and niche differentiation in two foliar pathogens",10.1007/s00442-004-1814-x
